PlotID,Warming,Precipitation,FunctionalGroup,Year,Biomass
3,C,C,C3,2009,251.76
6,C,C,C3,2009,415.71
19,C,C,C3,2009,429.18
23,C,C,C3,2009,504.84
9,C,D,C3,2009,276.84
12,C,D,C3,2009,258.92
14,C,D,C3,2009,182.19
17,C,D,C3,2009,35.77
8,C,H,C3,2009,266.21
11,C,H,C3,2009,285.74
13,C,H,C3,2009,109.2
24,C,H,C3,2009,226.03
1,W,C,C3,2009,342.79
10,W,C,C3,2009,347.32
16,W,C,C3,2009,290.4
20,W,C,C3,2009,223.06
4,W,D,C3,2009,396.44
7,W,D,C3,2009,376.98
21,W,D,C3,2009,339.82
22,W,D,C3,2009,213.52
2,W,H,C3,2009,360.9
5,W,H,C3,2009,191
15,W,H,C3,2009,112.07
18,W,H,C3,2009,146.27
3,C,C,C4,2009,39.14
6,C,C,C4,2009,77.35
19,C,C,C4,2009,105.42
23,C,C,C4,2009,12.96
9,C,D,C4,2009,318.29
12,C,D,C4,2009,83.73
14,C,D,C4,2009,91.59
17,C,D,C4,2009,84.23
8,C,H,C4,2009,25.45
11,C,H,C4,2009,318.29
13,C,H,C4,2009,125.45
24,C,H,C4,2009,28.81
1,W,C,C4,2009,154.37
10,W,C,C4,2009,77.84
16,W,C,C4,2009,118.58
20,W,C,C4,2009,67.57
4,W,D,C4,2009,192.38
7,W,D,C4,2009,61.31
21,W,D,C4,2009,173.91
22,W,D,C4,2009,151.79
2,W,H,C4,2009,16.58
5,W,H,C4,2009,5.09
15,W,H,C4,2009,15.44
18,W,H,C4,2009,130.98
3,C,C,Total,2009,290.9
6,C,C,Total,2009,493.06
19,C,C,Total,2009,534.6
23,C,C,Total,2009,517.8
9,C,D,Total,2009,595.13
12,C,D,Total,2009,342.65
14,C,D,Total,2009,273.78
17,C,D,Total,2009,120
8,C,H,Total,2009,291.66
11,C,H,Total,2009,604.03
13,C,H,Total,2009,234.65
24,C,H,Total,2009,254.84
1,W,C,Total,2009,497.16
10,W,C,Total,2009,425.16
16,W,C,Total,2009,408.98
20,W,C,Total,2009,290.63
4,W,D,Total,2009,588.82
7,W,D,Total,2009,438.29
21,W,D,Total,2009,513.73
22,W,D,Total,2009,365.31
2,W,H,Total,2009,377.48
5,W,H,Total,2009,196.09
15,W,H,Total,2009,127.51
18,W,H,Total,2009,277.25
3,C,C,C3,2010,228.44
6,C,C,C3,2010,420.96
19,C,C,C3,2010,444.59
23,C,C,C3,2010,698.75
9,C,D,C3,2010,459.71
12,C,D,C3,2010,288.15
14,C,D,C3,2010,259.88
17,C,D,C3,2010,181.72
8,C,H,C3,2010,409.12
11,C,H,C3,2010,385.42
13,C,H,C3,2010,206.23
24,C,H,C3,2010,274.94
1,W,C,C3,2010,312.43
10,W,C,C3,2010,400.9
16,W,C,C3,2010,306
20,W,C,C3,2010,417.31
4,W,D,C3,2010,375.18
7,W,D,C3,2010,355.82
21,W,D,C3,2010,382.26
22,W,D,C3,2010,284.66
2,W,H,C3,2010,366.75
5,W,H,C3,2010,364.49
15,W,H,C3,2010,400.23
18,W,H,C3,2010,345.99
3,C,C,C4,2010,36.24
6,C,C,C4,2010,43.59
19,C,C,C4,2010,65
23,C,C,C4,2010,0
9,C,D,C4,2010,126.29
12,C,D,C4,2010,37.15
14,C,D,C4,2010,224.45
17,C,D,C4,2010,155.42
8,C,H,C4,2010,59.39
11,C,H,C4,2010,0
13,C,H,C4,2010,189.05
24,C,H,C4,2010,23.63
1,W,C,C4,2010,258.08
10,W,C,C4,2010,0
16,W,C,C4,2010,102.43
20,W,C,C4,2010,213.8
4,W,D,C4,2010,206.19
7,W,D,C4,2010,0
21,W,D,C4,2010,343.16
22,W,D,C4,2010,213.75
2,W,H,C4,2010,2.37
5,W,H,C4,2010,41.73
15,W,H,C4,2010,11.69
18,W,H,C4,2010,116.3
3,C,C,Total,2010,264.68
6,C,C,Total,2010,464.55
19,C,C,Total,2010,509.59
23,C,C,Total,2010,698.75
9,C,D,Total,2010,586
12,C,D,Total,2010,325.3
14,C,D,Total,2010,484.33
17,C,D,Total,2010,337.14
8,C,H,Total,2010,468.51
11,C,H,Total,2010,385.42
13,C,H,Total,2010,395.28
24,C,H,Total,2010,298.57
1,W,C,Total,2010,570.51
10,W,C,Total,2010,400.9
16,W,C,Total,2010,408.43
20,W,C,Total,2010,631.11
4,W,D,Total,2010,581.37
7,W,D,Total,2010,355.82
21,W,D,Total,2010,725.42
22,W,D,Total,2010,498.41
2,W,H,Total,2010,369.12
5,W,H,Total,2010,406.22
15,W,H,Total,2010,411.92
18,W,H,Total,2010,462.29